DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,VIVIENDAS,POBLACIÓN
LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,LLARAY,-8.049585,-78.1925,70,260
LA LIBERTAD,CHEPEN,PACANGA,QUITO,-7.164733,-79.450902,77,252
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,GUANABANO,-7.21282,-79.491062,75,250
LA LIBERTAD,TRUJILLO,MOCHE,LA COBRANZA,-8.142434,-79.004398,60,249
LA LIBERTAD,BOLIVAR,UCHUMARCA,PUSAC,-6.990308,-77.932462,82,249
LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,COCHAPAMPA,-8.11266,-78.136505,88,242
LA LIBERTAD,CHEPEN,PACANGA,MONTE SECO,-7.135245,-79.511698,62,239
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,CHARCAPE,-7.192538,-79.53187,69,239
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,BUENOS AIRES,-7.45643,-79.514632,58,238
LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,CUSHIPE,-8.147023,-78.11487,64,237
LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,CASHAN,-8.14757,-78.102605,64,237
LA LIBERTAD,TRUJILLO,MOCHE,VILLA SAN JUAN,-8.149437,-79.002479,51,233
LA LIBERTAD,PATAZ,PATAZ,SAN ANTONIO,-7.719072,-77.661408,11,223
LA LIBERTAD,ASCOPE,CHICAMA,PAMPAS DE JAGUEY,-7.660428,-78.952418,61,214
LA LIBERTAD,BOLIVAR,LONGOTEA,CHOROBAMBA,-7.005167,-77.932712,61,214
LA LIBERTAD,TRUJILLO,LAREDO,CATUAY BAJO,-8.014039,-78.834939,60,207
LA LIBERTAD,SANCHEZ CARRION,COCHORCO,CHAGUALITO,-7.828207,-77.640718,63,204
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,LA GRANJA,-7.230653,-79.486382,68,200
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,GEIPE ALTO,-7.209012,-79.491862,48,189
LA LIBERTAD,TRUJILLO,MOCHE,PISUN,-8.149307,-78.999769,49,188
LA LIBERTAD,GRAN CHIMU,CASCAS,SINUPE,-7.58969,-78.868423,60,187
LA LIBERTAD,SANTIAGO DE CHUCO,CACHICADAN,INGA CORRAL,-8.051438,-78.030552,46,186
LA LIBERTAD,SANCHEZ CARRION,COCHORCO,CORRALES,-7.82115,-77.682262,58,185
LA LIBERTAD,CHEPEN,CHEPEN,CALERA BAJA,-7.269708,-79.395489,58,184
LA LIBERTAD,ASCOPE,CHICAMA,SALINAR,-7.669175,-78.956107,57,182
LA LIBERTAD,CHEPEN,CHEPEN,ZAPOTAL,-7.27596,-79.298356,57,182
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,MUYCAN,-8.128853,-78.180242,61,181
LA LIBERTAD,OTUZCO,SALPO,RAYAPAMPA (RAYAMPAMPA),-8.001743,-78.684923,52,171
LA LIBERTAD,CHEPEN,PACANGA,CERRO BLANCO,-7.140082,-79.447627,45,167
LA LIBERTAD,ASCOPE,ASCOPE,CEPEDA,-7.735255,-79.107073,52,166
LA LIBERTAD,GRAN CHIMU,MARMOT,PAMPAS DEL BAO,-7.556248,-78.78935,54,166
LA LIBERTAD,GRAN CHIMU,CASCAS,PROGRESO COLON,-7.590622,-78.894492,45,163
LA LIBERTAD,ASCOPE,RAZURI,LOS GARCIA,-7.713918,-79.374965,38,161
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,LA TERESA,-7.143748,-79.559963,45,161
LA LIBERTAD,CHEPEN,CHEPEN,LA ARENITA,-7.276365,-79.301809,45,160
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,SAN JOSE BAJO,-7.903478,-79.238873,52,157
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,SAN DEMETRIO,-7.440273,-79.562503,40,148
LA LIBERTAD,CHEPEN,PACANGA,CAIN,-7.191772,-79.475235,43,146
LA LIBERTAD,TRUJILLO,MOCHE,HORCONCITO,-8.167425,-79.015668,35,144
LA LIBERTAD,ASCOPE,CHICAMA,HUABALITO,-7.605243,-78.909395,44,144
LA LIBERTAD,PACASMAYO,GUADALUPE,CAMPO ARTURO,-7.218867,-79.465128,45,144
LA LIBERTAD,TRUJILLO,LAREDO,LAS LOMAS,-8.114519,-78.947104,39,139
LA LIBERTAD,SANTIAGO DE CHUCO,ANGASMARCA,MULLIPAMPA,-8.149907,-78.039172,40,139
LA LIBERTAD,TRUJILLO,MOCHE,LA AMERICA,-8.164463,-79.022953,25,137
LA LIBERTAD,GRAN CHIMU,LUCMA,PINCHADAY,-7.562353,-78.649905,51,134
LA LIBERTAD,ASCOPE,CHICAMA,QUEMAZON,-7.73683,-79.032482,36,131
LA LIBERTAD,CHEPEN,CHEPEN,PUENTE GUADALUPE,-7.320321,-79.360245,43,130
LA LIBERTAD,TRUJILLO,POROTO,CUSHMUN,-7.998503,-78.693242,34,127
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,SAN ISIDRO,-7.124193,-79.57692,37,125
LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,NAZARENO,-7.923567,-79.286795,45,124
LA LIBERTAD,SANTIAGO DE CHUCO,SANTA CRUZ DE CHUCA,LLATURPAMBA,-8.148552,-78.134542,32,122
LA LIBERTAD,ASCOPE,CASA GRANDE,EL CERRILLO,-7.671995,-79.26046,34,120
LA LIBERTAD,PACASMAYO,SAN JOSE,LAS VEGAS,-7.332025,-79.380145,34,120
LA LIBERTAD,PACASMAYO,GUADALUPE,LAS BRISAS,-7.322079,-79.580226,32,119
LA LIBERTAD,GRAN CHIMU,CASCAS,PUNTA MORENO,-7.594203,-78.888128,36,119
LA LIBERTAD,CHEPEN,PACANGA,SEBASTROPOL,-7.13915,-79.428058,32,118
LA LIBERTAD,TRUJILLO,HUANCHACO,VALDIVIA (VALDIVIA ALTA),-8.083574,-79.075671,30,117
LA LIBERTAD,TRUJILLO,MOCHE,HUABALITO,-8.167789,-79.001714,28,115
LA LIBERTAD,TRUJILLO,LAREDO,QUIRIHUAC BAJO (QUIRIHUAC I),-8.067343,-78.851537,36,114
LA LIBERTAD,TRUJILLO,MOCHE,SAN AGUSTIN DEL PUENTE,-8.144897,-79.012949,23,112
LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,YANIVILCA,-7.89461,-78.287372,26,112
LA LIBERTAD,CHEPEN,PACANGA,TRUST BAJO,-7.168327,-79.397877,32,111
LA LIBERTAD,ASCOPE,CHICAMA,LLAMIPE,-7.895732,-79.181808,30,110
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,QUEMBER,-7.226238,-79.486583,29,106
LA LIBERTAD,TRUJILLO,POROTO,CASA BLANCA,-8.008578,-78.772345,28,105
LA LIBERTAD,CHEPEN,CHEPEN,PUENTE CHEPEN,-7.309694,-79.341982,34,104
LA LIBERTAD,TRUJILLO,POROTO,CAMPO DE PIURA,-8.018567,-78.766772,26,103
LA LIBERTAD,TRUJILLO,MOCHE,LA GENERAL (SUN. B),-8.145787,-79.000679,22,101
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,CHULITE,-8.13167,-78.186553,32,100
LA LIBERTAD,CHEPEN,CHEPEN,EL POLVORIN,-7.277155,-79.275896,36,98
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,CHASCARRAPE,-7.394472,-79.507435,31,97
LA LIBERTAD,ASCOPE,CHICAMA,LA BOTELLA,-7.633638,-78.936042,27,96
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,NEPEN,-7.9307,-79.265043,32,96
LA LIBERTAD,ASCOPE,CASA GRANDE,SOL UNO,-7.673273,-79.214546,28,96
LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,SANTA MARTHA,-7.335717,-79.58198,33,96
